#,Cobertura
1,cafe
2,cafe
3,cafe
4,cafe
5,cafe
6,Bosque
7,cafe
8,Bosque
9,cafe
10,cafe
11,cafe
12,cafe
13,cafe
14,cafe
15,cafe
16,cafe
17,cafe
18,Bosque
19,cafe
20,cafe
21,cafe
22,cafe
23,cafe
24,cafe
25,cafe
26,Bosque
27,Cultivo
28,cafe
29,cafe
30,cafe
31,cafe
32,cafe
33,Potrero
34,cafe
35,cafe
36,cafe
37,cafe
38,cafe
39,cafe
40,cafe
41,cafe
42,Bosque
43,cafe
44,cafe
45,cafe
46,Bosque
47,cafe
48,cafe
49,cafe
50,Cultivo
51,Bosque
52,cafe
53,cafe
54,Potrero
55,cafe
56,cafe
57,Bosque
58,Cultivo
59,cafe
60,cafe
61,Bosque
62,cafe
63,Potrero
64,Potrero
65,cafe
66,cafe
67,cafe
68,Bosque
69,cafe
70,cafe
71,Bosque
72,Bosque
73,Bosque
74,Bosque
75,Potrero
76,Potrero
77,Bosque
78,cafe
79,Cultivo
80,Cultivo
81,Bosque
82,Bosque
83,cafe
84,Cultivo
85,Cultivo
86,cafe
87,cafe
88,cafe
89,Bosque
90,cafe
91,cafe
92,cafe
93,Bosque
94,cafe
95,Bosque
96,Bosque
97,cafe
98,cafe
99,Cultivo
100,Bosque
101,Bosque
102,Bosque
103,cafe
104,cafe
105,Bosque
106,Bosque
107,cafe
108,cafe
109,Bosque
110,cafe
111,cafe
112,Potrero
113,Potrero
114,Potrero
115,Cultivo
116,cafe
117,Cultivo
118,Bosque
119,Potrero
120,cafe
121,cafe
122,Cultivo
123,cafe
124,cafe
125,cafe
126,cafe
127,cafe
128,cafe
129,cafe
130,cafe
131,cafe
132,cafe
133,Bosque
134,cafe
135,cafe
136,cafe
137,Bosque
138,cafe
139,cafe
140,cafe
141,Potrero
142,Bosque
143,Cultivo
144,cafe
145,Bosque
146,Bosque
147,cafe
148,cafe
149,cafe
150,cafe
151,cafe
152,cafe
153,Bosque
